Date,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)
1994-04,100
1994-05,99.99999999999999
1994-06,97.14080886856183
1994-07,99.44322911137485
1994-08,113.55854797305031
1994-09,114.41908372827059
1994-10,111.80866697657542
1994-11,106.88487225656844
1994-12,104.68079346184001
1995-01,93.7691045076029
1995-02,92.76296136384312
1995-03,89.41991483651964
1995-04,89.70242389160516
1995-05,96.59590606144012
1995-06,95.4791192077285
1995-07,96.09735764701085
1995-08,96.2996892555579
1995-09,96.99051236206358
1995-10,92.58687231367611
1995-11,90.17063245953254
1995-12,95.71147222204914
1996-01,104.42256826081422
1996-02,103.54492237321432
1996-03,103.53823876034183
1996-04,108.03796932349175
1996-05,107.87135440377507
1996-06,107.37337376712769
1996-07,98.51925033231674
1996-08,100.06250590732795
1996-09,101.63495801088159
1996-10,99.07813271478405
1996-11,99.13570698822333
1996-12,101.35690427390121
1997-01,111.10861132837694
1997-02,121.4949010014556
1997-03,119.81254085193645
1997-04,118.20709393697186
1997-05,119.519398495942
1997-06,126.84866910691017
1997-07,131.5899805191388
1997-08,117.96616596689938
1997-09,116.20164942591363
1997-10,94.78161384725816
1997-11,88.11105153256683
1997-12,90.87342204807709
1998-01,86.42217116553562
1998-02,95.3682926081394
1998-03,98.96709742837466
1998-04,97.63451207988156
1998-05,83.43639062446849
1998-06,74.44291032062952
1998-07,75.98289949233116
1998-08,54.445466354198395
1998-09,53.6926606785273
1998-10,56.8374876816779
1998-11,62.73435757629241
1998-12,60.427879386643035
1999-01,59.2626285608092
1999-02,62.01854074610459
1999-03,72.16822767616226
1999-04,82.36583557359681
1999-05,82.60866402861551
1999-06,92.22226196248117
1999-07,86.93728052106353
1999-08,87.43152323659211
1999-09,83.19538165626219
1999-10,86.79224223811376
1999-11,98.74836848110837
1999-12,114.9983100561571
2000-01,118.50122795141816
2000-02,119.18078534560561
2000-03,121.13972022290567
2000-04,113.9334626196821
2000-05,105.30814460575459
2000-06,105.7866724680495
2000-07,104.02023759442645
2000-08,109.0645824048659
2000-09,99.7959556174908
2000-10,95.57203210354858
2000-11,84.99227942332101
2000-12,80.27986837113815
2001-01,91.28032315975207
2001-02,84.89203324742464
2001-03,80.55890846620719
2001-04,83.47443033346941
2001-05,88.31602988341588
2001-06,86.72590416365624
2001-07,78.59075276237662
2001-08,74.32783693377407
2001-09,63.07038583575784
2001-10,67.16902325641205
2001-11,75.81111253490256
2001-12,83.0752524425884
2002-01,87.57163207227863
2002-02,88.68770261313283
2002-03,93.67024325560841
2002-04,91.32389501665045
2002-05,85.78027726109079
2002-06,74.5881243807975
2002-07,70.59579742005005
2002-08,71.28295534464853
2002-09,63.37952086898277
2002-10,67.23956278228788
2002-11,71.27248580741589
2002-12,65.27069807912271
2003-01,63.3303641546086
2003-02,61.73221361132683
2003-03,59.09464636144807
2003-04,62.71303547311697
2003-05,63.352579755602704
2003-06,69.4298098183934
2003-07,74.27753281993712
2003-08,81.99677586600828
2003-09,77.25289552905517
2003-10,83.68512609728117
2003-11,82.38598342488092
2003-12,83.53956846044214
2004-01,88.37246528452965
2004-02,92.44069120190386
2004-03,95.14840237718893
2004-04,89.75533662611552
2004-05,86.13395096887324
2004-06,86.65126021225107
2004-07,85.5755105014125
2004-08,88.66491671118305
2004-09,91.51286007368661
2004-10,91.43649273773624
2004-11,95.68978429299517
