Date,SPDR MSCI World UCITS ETF
1978-11,100
1978-12,100
1979-01,104.10868863153853
1979-02,102.72961253509271
1979-03,107.12223474741972
1979-04,108.28610354043863
1979-05,107.71478520593696
1979-06,109.65523816820573
1979-07,106.64594789493135
1979-08,111.39157473111092
1979-09,112.79513721433608
1979-10,104.97694767032226
1979-11,107.90304456155334
1979-12,108.43397723736572
1980-01,113.96155629488813
1980-02,115.21154625145181
1980-03,108.41106202777833
1980-04,117.04394895237692
1980-05,117.63980032331276
1980-06,121.62770984877669
1980-07,123.95788025518814
1980-08,129.0482052302129
1980-09,132.76612856347666
1980-10,140.23805989138708
1980-11,151.38588230950856
1980-12,152.92479741005317
1981-01,149.1026871161776
1981-02,159.90574079150755
1981-03,165.8978164509623
1981-04,170.56394424665453
1981-05,177.6239514614537
1981-06,184.32257961863732
1981-07,186.91315665681597
1981-08,188.4247650482668
1981-09,166.54796580102797
1981-10,166.76612265335783
1981-11,177.43163900760516
1981-12,176.25304078806425
1982-01,176.52154519647902
1982-02,171.5300669525811
1982-03,170.06628022512749
1982-04,181.3659747547944
1982-05,170.8870275247873
1982-06,172.8376797658154
1982-07,174.46117710311302
1982-08,188.44584264426686
1982-09,191.28038605859368
1982-10,207.02907191494282
1982-11,221.8348751558578
1982-12,222.43443866750147
1983-01,225.75833484217222
1983-02,234.91366692478698
1983-03,244.58985287556587
1983-04,266.0173988198482
1983-05,265.24463783088197
1983-06,282.15276028347824
1983-07,281.07647814036847
1983-08,291.95473196630235
1983-09,298.26611551730514
1983-10,290.110883290926
1983-11,305.7759488275519
1983-12,317.7541053125987
1984-01,327.80251750550184
1984-02,312.7257840122062
1984-03,315.9602502713373
1984-04,320.56932961436075
1984-05,307.7477576660254
1984-06,310.55190477378125
1984-07,311.15229931564437
1984-08,346.44735038049146
1984-09,361.6644578281087
1984-10,372.4018585832061
1984-11,361.51881947743766
1984-12,383.86897054045437
1985-01,415.1599865088827
1985-02,431.69743582988286
1985-03,447.92062063672995
1985-04,416.00146734499634
1985-05,440.64825931347366
1985-06,440.9022463798839
1985-07,428.25143837918677
1985-08,417.1332603750162
1985-09,427.2546662895767
1985-10,422.7662261898704
1985-11,437.94657363540813
1985-12,447.8132204535489
1986-01,445.2336805647659
1986-02,466.430392076892
1986-03,498.06315128300935
1986-04,514.6119089101053
1986-05,504.3422313111895
1986-06,526.8527056441283
1986-07,515.6749527234567
1986-08,544.0643302457665
1986-09,518.5244768888884
1986-10,504.10728571151463
1986-11,530.9743376895607
1986-12,534.0087610573653
1987-01,561.080682641357
1987-02,569.4908933846222
1987-03,603.9096470324902
1987-04,631.1315186735116
1987-05,624.4929803118474
1987-06,635.4561766895379
1987-07,657.6597385740756
1987-08,702.0789854961405
1987-09,671.998257255234
1987-10,553.9714464074066
1987-11,507.94681946432604
1987-12,513.9582080874272
1988-01,532.1398420003496
1988-02,579.4062648330766
1988-03,588.9168266205704
1988-04,592.8852521326565
1988-05,586.8569331896056
1988-06,607.91598732054
1988-07,650.6587118221349
1988-08,628.79412829766
1988-09,650.8027546781552
1988-10,677.0431756955772
1988-11,672.9488537909773
1988-12,679.8242775182898
1989-01,732.4222990301639
1989-02,736.9156135665332
1989-03,737.1515078662285
1989-04,758.4202388179931
1989-05,771.6743064201536
1989-06,776.7962469344309
1989-07,826.945289285554
1989-08,819.4809165040682
1989-09,855.6128159055826
1989-10,796.0058416923489
1989-11,816.000188017127
1989-12,807.6341468133393
1990-01,747.4208660256239
1990-02,705.963201505906
1990-03,675.0173826634586
1990-04,656.8381623838801
1990-05,714.2259534631098
1990-06,713.9920634844692
1990-07,698.8047381033554
1990-08,605.5748907843265
1990-09,542.6743964198714
1990-10,576.0054496569672
1990-11,555.3942871862797
1990-12,573.7845960860158
1991-01,596.302479376451
1991-02,640.7147797506701
1991-03,676.8786505959611
1991-04,718.5886355799994
1991-05,744.7541789228935
1991-06,724.8902834324408
1991-07,760.1675555927152
1991-08,741.1292885343216
1991-09,739.6323790393542
1991-10,750.6839917821435
1991-11,691.1635692922691
1991-12,717.9832343043577
1992-01,709.7046196962168
1992-02,712.9096561552738
1992-03,697.5401906627951
1992-04,700.9379097673731
1992-05,714.944273819411
1992-06,671.2738344997452
1992-07,641.0240406199225
1992-08,640.1090733822117
1992-09,648.9497619864347
1992-10,657.6912584804995
1992-11,713.3818095951774
1992-12,718.7411718606932
1993-01,735.2925446541884
1993-02,771.5302018921508
1993-03,820.3448580992813
1993-04,829.2194550797035
1993-05,850.4772228401297
1993-06,868.0085623645781
1993-07,923.5213190486978
1993-08,973.295960066546
1993-09,917.3830448477474
1993-10,953.7889394744604
1993-11,924.0608032937889
1993-12,968.9138010380931
1994-01,1046.8898675362757
1994-02,1029.4304514053606
1994-03,964.7506065842474
1994-04,997.5312333884142
1994-05,978.6716909729892
1994-06,960.1777184625388
1994-07,948.3459305263599
1994-08,978.0977730903935
1994-09,942.2631067048662
1994-10,950.6203925607663
1994-11,922.989101634833
1994-12,951.0707905342276
1995-01,917.7238352947526
1995-02,920.9960264654974
1995-03,927.9632617065358
1995-04,942.0178344417875
1995-05,964.8438615700718
1995-06,956.5882724696173
1995-07,992.8687476511604
1995-08,1000.2254912881635
1995-09,1042.6622387619354
1995-10,1010.3678525019586
1995-11,1047.8002556390772
1995-12,1095.6074190965
1996-01,1129.0574095875027
1996-02,1142.5566895502054
1996-03,1160.9232613740498
1996-04,1198.4485569081348
1996-05,1214.132992671416
1996-06,1210.9038428442318
1996-07,1150.4560169142924
1996-08,1153.2326774576181
1996-09,1208.8722116825377
1996-10,1221.196422115826
1996-11,1273.1708555968985
1996-12,1280.6021270388142
1997-01,1331.3841665581706
1997-02,1405.4745805573145
1997-03,1393.769824101615
1997-04,1447.264353038516
1997-05,1532.002299630902
1997-06,1626.5795487255177
1997-07,1748.9258167744265
1997-08,1678.5656584443927
1997-09,1723.4351562101365
1997-10,1603.1789549829434
1997-11,1598.0606523245747
1997-12,1661.276469061526
1998-01,1746.9517703577128
1998-02,1861.119840080797
1998-03,1946.9559354539542
1998-04,1952.7609889627925
1998-05,1899.0061496527821
1998-06,1958.2804681673708
1998-07,1959.8524073094998
1998-08,1691.659832199216
1998-09,1641.3729078048516
1998-10,1723.748194092436
1998-11,1879.2084530948696
1998-12,1958.5342673701361
1999-01,2066.9058180235356
1999-02,2078.8452286071342
1999-03,2221.1430198153666
1999-04,2340.3856401742228
1999-05,2285.357224872245
1999-06,2421.690821230797
1999-07,2331.8739565861188
1999-08,2354.470020642205
1999-09,2311.6054472962223
1999-10,2481.175192339319
1999-11,2641.0055660854327
1999-12,2869.3367421454527
2000-01,2775.518132444913
2000-02,2805.1346050769084
2000-03,3049.6399939593134
2000-04,3071.2098017535395
2000-05,2923.371240571654
2000-06,2941.9047431922695
2000-07,2955.9847829969403
2000-08,3167.7218705939267
2000-09,3047.595946679583
2000-10,3120.517711417268
2000-11,2841.0207804436477
2000-12,2694.3982441721414
2001-01,2750.007038758708
2001-02,2529.8830626608997
2001-03,2475.297282718909
2001-04,2645.450441996167
2001-05,2734.3317633245015
2001-06,2648.7763114263894
2001-07,2531.5269706371973
2001-08,2304.17915575885
2001-09,2107.432335015968
2001-10,2168.944510097772
2001-11,2334.5517072191737
2001-12,2371.939579512525
